-68,-111,1.036
-68,-110,1.129
-68,-109,1.182
-68,-108,1.195
-68,-107,1.115
-68,-106,1.079
-68,-105,1.088
-68,-104,1.135
-68,-103,1.123
-68,-102,1.052
-68,-101,0.995
-68,-100,0.96
-68,-99,0.947
-68,-98,1.065
-68,-97,1.113
-68,-96,1.09
-68,-95,1.091
-68,-94,1.054
-68,-93,0.979
-68,-92,0.937
-68,-91,0.862
-68,-90,0.753
-68,-89,0.749
-68,-88,0.756
-68,-87,0.774
-68,-86,0.794
-68,-85,0.801
-68,-84,0.795
-68,-83,0.801
-68,-82,0.815
-68,-81,0.838
-68,-80,0.829
-68,-79,0.838
-68,-78,0.867
-68,-77,0.842
-68,-76,0.835
-68,-75,0.845
-68,-74,0.835
-68,-73,0.873
-68,-72,0.958
-68,-71,0.8
-68,-70,0.794
-68,-69,0.941
-68,-68,1.08
-68,-67,1.266
-68,-66,1.501
-68,-65,1.412
-68,-64,1.19
-68,-63,0.836
-68,-62,0.916
-68,-61,0.931
-68,-60,0.881
-68,-59,0.887
-68,-58,0.899
-68,-57,0.918
-68,-56,0.896
-68,-55,0.914
-68,-54,0.972
-68,-53,0.945
-68,-52,0.923
-68,-51,0.904
-68,-50,0.9
-68,-49,0.968
-68,-48,1.108
-68,-47,0.939
-68,-46,0.87
-68,-45,0.9
-68,-44,1.163
-68,-43,1.235
-68,-42,1.118
-68,-41,1.221
-68,-40,1.218
-68,-39,1.107
-68,-38,1.131
-68,-37,1.221
-68,-36,1.376
-68,-35,1.217
-68,-34,1.117
-68,-33,1.076
-68,-32,1.006
-68,-31,0.988
-68,-30,1.021
-68,-29,1.061
-68,-28,1.051
-68,-27,0.99
-68,-26,1.064
-68,-25,1.132
-68,-24,1.193
-68,-23,1.166
-68,-22,1.144
-68,-21,1.125
-68,-20,1.244
-68,-19,1.156
-68,-18,0.861
-68,-17,1.019
-68,-16,1.197
-68,-15,1.394
-68,-14,1.519
-68,-13,1.484
-68,-12,1.29
-68,-11,1.175
-68,-10,1.282
-68,-9,1.609
-68,-8,1.455
-68,-7,1.507
-68,-6,1.765
-68,-5,1.688
-68,-4,1.805
-68,-3,2.117
-68,-2,2.08
-68,-1,1.753
-68,0,1.138
-68,1,0.665
-68,2,0.714
-68,3,1.285
-68,4,1.285
-68,5,1.067
-68,6,0.632
-68,7,0.579
-68,8,0.564
-68,9,0.587
-68,10,0.49
-68,11,0.51
-68,12,0.645
-68,13,0.656
-68,14,0.738
-68,15,0.893
-68,16,0.867
-68,17,0.845
-68,18,0.828
-68,19,0.645
-68,20,0.524
-68,21,0.465
-68,22,0.47
-68,23,0.458
-68,24,0.429
-68,25,0.449
-68,26,0.463
-68,27,0.47
-68,28,0.485
-68,29,0.718
-68,30,1.169
-68,31,1.23
-68,32,1.035
-68,33,0.584
-68,34,0.873
-68,35,0.839
-68,36,0.483
-68,37,0.552
-68,38,0.56
-68,39,0.507
-68,40,0.686
-68,41,0.823
-68,42,0.917
-68,43,0.914
-68,44,0.919
-68,45,0.934
-68,46,1.069
-68,47,1.166
-68,48,1.226
-68,49,1.413
-68,50,1.612
-68,51,1.821
-68,52,2.017
-68,53,2.157
-68,54,2.242
-68,55,2.16
-68,56,2.043
-68,57,1.892
-68,58,1.927
-68,59,1.887
-68,60,1.772
-68,61,1.666
-68,62,1.582
-68,63,1.521
-68,64,1.412
-68,65,1.302
-68,66,1.191
-68,67,1.072
-68,68,0.978
-68,69,0.907
-68,70,0.828
-68,71,0.838
-68,72,0.939
-68,73,0.728
-68,74,0.584
-68,75,0.506
-68,76,0.589
-68,77,0.704
-68,78,0.852
-68,79,0.921
-68,80,1.009
-68,81,1.116
-68,82,1.301
-68,83,1.439
-68,84,1.531
-68,85,1.701
-68,86,1.791
-68,87,1.801
-68,88,1.88
-68,89,1.969
-68,90,2.069
-68,91,2.117
-68,92,2.153
-68,93,2.177
-68,94,2.187
-68,95,2.197
-68,96,2.209
-68,97,2.218
-68,98,2.209
-68,99,2.182
-68,100,2.184
-68,101,2.225
-68,102,2.304
-68,103,2.345
-68,104,2.363
-68,105,2.357
-68,106,2.326
-68,107,2.252
-68,108,2.133
-68,109,1.998
-68,110,1.915
-68,111,1.885
-68,112,1.879
-68,113,1.836
-68,114,1.756
-68,115,1.663
-68,116,1.605
-68,117,1.579
-68,118,1.547
-68,119,1.545
-68,120,1.575
-68,121,1.698
-68,122,1.805
-68,123,1.898
-68,124,1.979
-68,125,2.004
-68,126,1.973
-68,127,1.872
-68,128,1.812
-68,129,1.795
-68,130,1.935
-68,131,2.048
-68,132,2.134
-68,133,2.173
-68,134,2.211
-68,135,2.248
-68,136,2.258
-68,137,2.254
-68,138,2.236
-68,139,2.173
-68,140,2.073
-68,141,1.936
-68,142,1.717
-68,143,1.503
-68,144,1.293
-68,145,1.096
-68,146,0.973
-68,147,0.922
-68,148,0.943
-68,149,0.99
-68,150,1.062
-68,151,1.306
-68,152,1.386
-68,153,1.302
-68,154,1.093
-68,155,0.936
-68,156,0.83
-68,157,0.799
-68,158,0.786
-68,159,0.793
-68,160,0.748
-68,161,0.972
-68,162,1.465
-68,163,1.504
-68,164,1.421
-68,165,1.218
-68,166,1.328
-68,167,1.337
-68,168,1.243
-68,169,1.253
-68,170,1.37
-68,171,1.596
-68,172,1.604
-68,173,1.601
-68,174,1.589
-68,175,1.819
-68,176,1.888
-68,177,1.797
-68,178,1.788
-68,179,1.761
-67,-180,1.506
-67,-179,1.634
-67,-178,1.657
-67,-177,1.576
